id,temp_range,head,head_image,head_color,head_material,head_style,head_vector,outerwear,outerwear_image,outerwear_color,outerwear_material,outerwear_style,outerwear_vector,top,top_image,top_color,top_material,top_style,top_vector,bottom,bottom_image,bottom_color,bottom_material,bottom_style,bottom_vector,shoes,shoes_image,shoes_color,shoes_material,shoes_style,shoes_vector,general_vector
1,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_57_shoes_vector_77
2,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_57_shoes_vector_78
3,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_57_shoes_vector_79
4,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_57_shoes_vector_80
5,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_58_shoes_vector_77
6,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_58_shoes_vector_78
7,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_58_shoes_vector_79
8,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_58_shoes_vector_80
9,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_59_shoes_vector_77
10,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_59_shoes_vector_78
